Shortest distance: 5.253 km

Path: 47 nodes
Node 0: (90.404772, 23.855136) -> 0.034 km
Node 188: (90.404976, 23.854894) -> 0.018 km
Node 37552: (90.405082, 23.854769) -> 1.932 km
Node 37553: (90.416504, 23.840885) -> 0.278 km
Node 37554: (90.417852, 23.838712) -> 0.173 km
Node 43107: (90.418367, 23.837227) -> 0.182 km
Node 43108: (90.418794, 23.835634) -> 0.301 km
Node 42845: (90.419250, 23.832955) -> 0.097 km
Node 43163: (90.420201, 23.832896) -> 0.044 km
Node 43161: (90.420623, 23.832809) -> 0.070 km
Node 43154: (90.421303, 23.832700) -> 0.030 km
Node 43156: (90.421588, 23.832650) -> 0.069 km
Node 43162: (90.422262, 23.832581) -> 0.017 km
Node 43153: (90.422428, 23.832557) -> 0.016 km
Node 43186: (90.422543, 23.832465) -> 0.030 km
Node 43187: (90.422634, 23.832207) -> 0.045 km
Node 42815: (90.423026, 23.832018) -> 0.058 km
Node 42816: (90.423535, 23.831792) -> 0.045 km
Node 43376: (90.423978, 23.831759) -> 0.040 km
Node 43377: (90.424131, 23.831425) -> 0.082 km
Node 43375: (90.424928, 23.831343) -> 0.039 km
Node 43367: (90.425312, 23.831349) -> 0.004 km
Node 43372: (90.425353, 23.831347) -> 0.036 km
Node 43393: (90.425704, 23.831331) -> 0.051 km
Node 43395: (90.426197, 23.831269) -> 0.015 km
Node 43226: (90.426346, 23.831247) -> 0.039 km
Node 43398: (90.426726, 23.831192) -> 0.022 km
Node 43397: (90.426935, 23.831163) -> 0.031 km
Node 43224: (90.427231, 23.831113) -> 0.005 km
Node 43345: (90.427275, 23.831104) -> 0.029 km
Node 43346: (90.427397, 23.831335) -> 0.101 km
Node 43447: (90.428355, 23.831584) -> 0.088 km
Node 43442: (90.429144, 23.831916) -> 0.043 km
Node 43434: (90.429464, 23.832170) -> 0.016 km
Node 43454: (90.429576, 23.832266) -> 0.032 km
Node 43426: (90.429826, 23.832437) -> 0.049 km
Node 43451: (90.430310, 23.832419) -> 0.042 km
Node 43431: (90.430723, 23.832389) -> 0.010 km
Node 43244: (90.430805, 23.832343) -> 0.105 km
Node 43223: (90.431751, 23.831970) -> 0.070 km
Node 43506: (90.432394, 23.832184) -> 0.017 km
Node 43503: (90.432535, 23.832270) -> 0.121 km
Node 43507: (90.433481, 23.832933) -> 0.095 km
Node 43501: (90.434399, 23.833088) -> 0.079 km
Node 2: (90.435171, 23.832986) -> 0.159 km
Node 3: (90.436729, 23.833048) -> 0.396 km
Node 4: (90.440514, 23.833864)
